galaxy,r_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms,D_Mpc,D_err_Mpc,i_deg,i_err_deg,L36_tot,M_HI,L36_disk,L36_bulge
CamB,0.16,1.99,1.5,3.75,0.0,1.86,3.36,0.26,65.0,5.0,0.075,0.012,,
CamB,0.41,4.84,1.5,9.47,0.0,4.24,3.36,0.26,65.0,5.0,0.075,0.012,,
CamB,0.57,6.79,1.5,11.76,0.0,5.61,3.36,0.26,65.0,5.0,0.075,0.012,,
CamB,0.73,8.87,1.5,13.72,0.0,6.77,3.36,0.26,65.0,5.0,0.075,0.012,,
CamB,0.9,10.9,1.5,14.8,0.0,7.77,3.36,0.26,65.0,5.0,0.075,0.012,,
CamB,1.06,12.9,1.5,15.24,0.0,8.44,3.36,0.26,65.0,5.0,0.075,0.012,,
CamB,1.22,14.7,1.5,15.11,0.0,8.64,3.36,0.26,65.0,5.0,0.075,0.012,,
CamB,1.47,16.8,1.5,15.9,0.0,8.08,3.36,0.26,65.0,5.0,0.075,0.012,,
CamB,1.79,20.1,1.5,14.91,0.0,6.91,3.36,0.26,65.0,5.0,0.075,0.012,,
D564-8,0.51,8.54,1.53,6.36,0.0,3.47,8.79,0.28,63.0,7.0,0.033,0.029,,
D564-8,1.02,15.1,1.41,8.66,0.0,5.33,8.79,0.28,63.0,7.0,0.033,0.029,,
D564-8,1.53,19.8,1.8,9.09,0.0,6.34,8.79,0.28,63.0,7.0,0.033,0.029,,
D564-8,2.04,21.9,1.82,8.75,0.0,6.86,8.79,0.28,63.0,7.0,0.033,0.029,,
D564-8,2.56,24.0,1.89,8.17,0.0,7.05,8.79,0.28,63.0,7.0,0.033,0.029,,
D564-8,3.07,25.0,2.05,7.65,0.0,7.04,8.79,0.28,63.0,7.0,0.033,0.029,,
D631-7,0.45,8.41,1.58,9.99,0.0,8.4,7.72,0.18,59.0,3.0,0.196,0.29,,
D631-7,0.9,17.8,2.22,15.52,0.0,13.51,7.72,0.18,59.0,3.0,0.196,0.29,,
D631-7,1.35,26.0,2.35,20.76,0.0,16.7,7.72,0.18,59.0,3.0,0.196,0.29,,
D631-7,1.8,30.9,2.22,21.37,0.0,18.72,7.72,0.18,59.0,3.0,0.196,0.29,,
D631-7,2.25,34.7,1.82,19.92,0.0,19.9,7.72,0.18,59.0,3.0,0.196,0.29,,
D631-7,2.69,38.8,1.81,18.76,0.0,20.61,7.72,0.18,59.0,3.0,0.196,0.29,,
D631-7,3.14,42.5,1.57,17.36,0.0,20.73,7.72,0.18,59.0,3.0,0.196,0.29,,
D631-7,3.59,45.6,1.59,16.32,0.0,20.61,7.72,0.18,59.0,3.0,0.196,0.29,,
D631-7,4.04,48.8,1.83,15.37,0.0,20.38,7.72,0.18,59.0,3.0,0.196,0.29,,
D631-7,4.49,51.8,1.91,14.49,0.0,19.9,7.72,0.18,59.0,3.0,0.196,0.29,,
D631-7,4.94,54.8,2.19,13.72,0.0,19.43,7.72,0.18,59.0,3.0,0.196,0.29,,
D631-7,5.39,56.6,2.73,13.04,0.0,18.84,7.72,0.18,59.0,3.0,0.196,0.29,,
D631-7,5.84,58.4,3.27,12.45,0.0,18.25,7.72,0.18,59.0,3.0,0.196,0.29,,
D631-7,6.29,58.5,3.95,11.93,0.0,17.65,7.72,0.18,59.0,3.0,0.196,0.29,,
D631-7,6.74,57.7,4.07,11.48,0.0,17.06,7.72,0.18,59.0,3.0,0.196,0.29,,
D631-7,7.19,57.3,3.94,11.08,0.0,16.47,7.72,0.18,59.0,3.0,0.196,0.29,,
DDO154,0.49,13.8,1.6,12.31,0.0,3.74,4.04,0.2,64.0,3.0,0.053,0.275,,
DDO154,0.99,21.6,0.8,14.55,0.0,7.46,4.04,0.2,64.0,3.0,0.053,0.275,,
DDO154,1.48,28.9,0.7,12.95,0.0,10.87,4.04,0.2,64.0,3.0,0.053,0.275,,
DDO154,1.97,34.3,0.5,11.54,0.0,13.32,4.04,0.2,64.0,3.0,0.053,0.275,,
DDO154,2.47,38.2,0.4,10.18,0.0,14.77,4.04,0.2,64.0,3.0,0.053,0.275,,
DDO154,2.96,42.0,0.2,9.16,0.0,16.2,4.04,0.2,64.0,3.0,0.053,0.275,,
DDO154,3.46,44.6,0.2,8.37,0.0,17.6,4.04,0.2,64.0,3.0,0.053,0.275,,
DDO154,3.95,46.3,0.2,7.77,0.0,17.91,4.04,0.2,64.0,3.0,0.053,0.275,,
DDO154,4.44,47.4,0.3,7.29,0.0,17.48,4.04,0.2,64.0,3.0,0.053,0.275,,
DDO154,4.94,48.2,0.6,6.89,0.0,16.93,4.04,0.2,64.0,3.0,0.053,0.275,,
DDO154,5.43,47.4,0.7,6.55,0.0,16.28,4.04,0.2,64.0,3.0,0.053,0.275,,
DDO154,5.92,45.5,1.3,6.26,0.0,15.64,4.04,0.2,64.0,3.0,0.053,0.275,,
DDO168,0.41,15.0,4.1,8.28,0.0,10.41,4.25,0.21,63.0,6.0,0.191,0.413,,
DDO168,0.82,23.4,1.3,12.66,0.0,18.08,4.25,0.21,63.0,6.0,0.191,0.413,,
DDO168,1.24,29.2,1.5,15.11,0.0,20.09,4.25,0.21,63.0,6.0,0.191,0.413,,
DDO168,1.64,36.2,1.1,15.99,0.0,20.2,4.25,0.21,63.0,6.0,0.191,0.413,,
DDO168,2.06,44.0,1.1,16.89,0.0,22.0,4.25,0.21,63.0,6.0,0.191,0.413,,
DDO168,2.47,52.1,1.2,17.03,0.0,22.63,4.25,0.21,63.0,6.0,0.191,0.413,,
DDO168,2.89,52.9,1.7,16.99,0.0,22.95,4.25,0.21,63.0,6.0,0.191,0.413,,
DDO168,3.3,54.8,2.2,17.19,0.0,22.74,4.25,0.21,63.0,6.0,0.191,0.413,,
DDO168,3.71,55.0,2.5,17.16,0.0,22.74,4.25,0.21,63.0,6.0,0.191,0.413,,
DDO168,4.12,52.0,2.7,16.37,0.0,22.74,4.25,0.21,63.0,6.0,0.191,0.413,,
