galaxy,r_kpc,delta_a
CamB,0.16,1.3251509325795319e-11
CamB,0.41,1.9485153082968114e-11
CamB,0.57,2.077829108363341e-11
CamB,0.73,2.1564438303560506e-11
CamB,0.9,2.144484915413224e-11
CamB,1.06,2.085415481403387e-11
CamB,1.22,1.9671079047825907e-11
CamB,1.47,1.8170388144260417e-11
CamB,1.79,1.5223046373638547e-11
D564-8,0.51,1.3653647732463514e-11
D564-8,1.02,1.3768477386566674e-11
D564-8,1.53,1.2566736525809513e-11
D564-8,2.04,1.120364263042882e-11
D564-8,2.56,9.924957516412147e-12
D564-8,3.07,8.871470478244403e-12
D631-7,0.45,2.472276153621522e-11
D631-7,0.9,2.7304181693689994e-11
D631-7,1.35,2.8189589188505928e-11
D631-7,1.8,2.678732638524419e-11
D631-7,2.25,2.4769210054841947e-11
D631-7,2.69,2.3118129418609395e-11
D631-7,3.14,2.1344553882041414e-11
D631-7,3.59,1.9802778184244458e-11
D631-7,4.04,1.8438441379015098e-11
D631-7,4.49,1.7106025320529937e-11
D631-7,4.94,1.5948243202296183e-11
D631-7,5.39,1.4850389993579768e-11
D631-7,5.84,1.3866272421833329e-11
D631-7,6.29,1.2969062986383321e-11
D631-7,6.74,1.2156880108056182e-11
D631-7,7.19,1.1410111280164224e-11
DDO154,0.49,1.906117292724958e-11
DDO154,0.99,1.8715082813946665e-11
DDO154,1.48,1.7969570086432258e-11
DDO154,1.97,1.7580446308880276e-11
DDO154,2.47,1.681274569702459e-11
DDO154,2.96,1.6482881476498245e-11
DDO154,3.46,1.6333564820694178e-11
DDO154,3.95,1.5533330952642017e-11
DDO154,4.44,1.4362781066698339e-11
DDO154,4.94,1.3253629749685328e-11
DDO154,5.43,1.2219555509501432e-11
DDO154,5.92,1.129760236607964e-11
DDO168,0.41,2.8497090368849986e-11
DDO168,0.82,3.3014042266775174e-11
DDO168,1.24,3.0752351664099096e-11
DDO168,1.64,2.775759391080604e-11
DDO168,2.06,2.693922383246197e-11
DDO168,2.47,2.5449103074847195e-11
DDO168,2.89,2.4003670254043167e-11
DDO168,3.3,2.2561328757935167e-11
DDO168,3.71,2.142297484899502e-11
DDO168,4.12,2.0278530902370013e-11
ESO444-G084,0.26,2.3282014841946713e-11
ESO444-G084,0.77,2.750307236491274e-11
ESO444-G084,1.29,2.6616757637571203e-11
ESO444-G084,1.81,2.498902069690167e-11
ESO444-G084,2.32,2.293810148299397e-11
ESO444-G084,3.39,1.6884142494099883e-11
ESO444-G084,4.44,1.2617115817656252e-11
ESO563-G021,0.45,7.490427546994584e-11
ESO563-G021,1.34,7.692591220651516e-11
ESO563-G021,2.23,7.319617834500162e-11
ESO563-G021,3.12,6.971452500809916e-11
ESO563-G021,4.01,6.808387500588142e-11
ESO563-G021,4.9,6.833220224166516e-11
ESO563-G021,5.79,6.972354173709001e-11
ESO563-G021,6.69,7.030128774599245e-11
ESO563-G021,7.58,6.983147365285235e-11
ESO563-G021,8.47,6.983960327686697e-11
ESO563-G021,10.23,6.923742691353249e-11
ESO563-G021,12.06,6.824105249835223e-11
ESO563-G021,13.44,6.676437436958707e-11
ESO563-G021,15.18,6.5204671522625e-11
ESO563-G021,16.83,6.362481486378246e-11
ESO563-G021,18.56,6.117436630354638e-11
ESO563-G021,20.3,5.926605755010917e-11
ESO563-G021,21.94,5.802612036243464e-11
ESO563-G021,23.68,5.66393327805007e-11
ESO563-G021,25.41,5.435357399844151e-11
ESO563-G021,27.06,5.221260089194454e-11
ESO563-G021,28.8,4.986031193036935e-11
ESO563-G021,30.53,4.7625360843603035e-11
ESO563-G021,32.18,4.584817058205437e-11
ESO563-G021,33.91,4.422443017881461e-11
ESO563-G021,35.65,4.255520147533467e-11
ESO563-G021,37.3,4.1137251893126336e-11
ESO563-G021,39.03,3.9645738535004525e-11
ESO563-G021,40.76,3.825146226180994e-11
ESO563-G021,42.41,3.7064520156134074e-11
F568-3,0.64,2.1634953132500372e-11
F568-3,1.18,2.439850311371151e-11
F568-3,1.8,2.5619663700209856e-11
F568-3,2.03,2.58476619234693e-11
F568-3,2.78,2.6818884736445016e-11
F568-3,3.0,2.698304153451131e-11
F568-3,3.64,2.728662422523346e-11
F568-3,4.19,2.7413997639236058e-11
F568-3,4.6,2.6991059005175436e-11
F568-3,5.14,2.6344334812781874e-11
F568-3,5.39,2.6277115721343746e-11
F568-3,6.31,2.6323923034109037e-11
F568-3,9.1,2.526243067169264e-11
F568-3,10.17,2.505684652381633e-11
F568-3,11.99,2.4167538352300316e-11
F568-3,14.02,2.291310888262123e-11
F568-3,15.94,2.2044820637574172e-11
F568-3,17.98,2.0922568641721536e-11
F568-V1,0.39,2.6063142808796733e-11
F568-V1,1.18,3.36509927718782e-11
F568-V1,1.95,3.176445525830309e-11
F568-V1,2.74,2.9010674256523768e-11
F568-V1,3.53,2.8643627332287006e-11
F568-V1,4.3,2.836320538316695e-11
F568-V1,5.09,2.7221051968491218e-11
F568-V1,5.87,2.5778634341246483e-11
F568-V1,6.4,2.517545499375546e-11
F568-V1,7.44,2.448009665293168e-11
F568-V1,8.21,2.4130239053342087e-11
F568-V1,9.0,2.3384706314990455e-11
F568-V1,9.72,2.3116311329702595e-11
F568-V1,11.79,2.261942114837364e-11
F568-V1,17.63,1.789099793995472e-11
F574-1,0.47,2.347605839579989e-11
F574-1,1.41,3.231699475070032e-11
F574-1,2.35,3.1527227827208655e-11
F574-1,3.29,2.8228105895184375e-11
F574-1,4.22,2.6544048743162353e-11
F574-1,5.17,2.5648612440415163e-11
F574-1,6.11,2.5115922494699583e-11
F574-1,7.05,2.4212970237009956e-11
F574-1,7.99,2.372599764073223e-11
F574-1,8.92,2.2851693448898332e-11
F574-1,9.87,2.2674282579274232e-11
F574-1,10.79,2.2633464595742382e-11
F574-1,11.8,2.2499596228858593e-11
F574-1,12.6,2.2257492039847173e-11
IC2574,0.85,9.606060632291147e-12
IC2574,1.14,1.0329706437786827e-11
IC2574,1.42,1.0737551273263859e-11
IC2574,1.71,1.157550519986625e-11
IC2574,1.99,1.2450548824297285e-11
IC2574,2.28,1.2539074289562872e-11
IC2574,2.55,1.2884023658767237e-11
IC2574,2.84,1.290967657072944e-11
IC2574,3.13,1.2879226943500216e-11
IC2574,3.41,1.2786350296835918e-11
IC2574,3.7,1.2221476552304183e-11
IC2574,3.98,1.1570125281483523e-11
IC2574,4.26,1.1503222819357797e-11
IC2574,4.55,1.2539119250174252e-11
IC2574,4.84,1.3389359131452226e-11
IC2574,5.12,1.3828552523539703e-11
IC2574,5.41,1.3797072861454815e-11
IC2574,5.68,1.4040797823718203e-11
IC2574,5.97,1.413963576541454e-11
IC2574,6.26,1.4552727450320413e-11
IC2574,6.54,1.4974741372689758e-11
IC2574,6.83,1.4936049484755562e-11
IC2574,7.1,1.4999900423314574e-11
IC2574,7.39,1.4952320260911385e-11
IC2574,7.68,1.51889727713259e-11
IC2574,7.96,1.5293457104588592e-11
IC2574,8.25,1.532330523119154e-11
IC2574,8.52,1.5033942225117397e-11
IC2574,8.81,1.4893355829985683e-11
IC2574,9.1,1.4822632161378786e-11
IC2574,9.38,1.4931055836763476e-11
IC2574,9.67,1.5296884815961325e-11
IC2574,9.96,1.5371202338801343e-11
IC2574,10.23,1.5674057461154075e-11
IC4202,0.77,8.472005950402954e-11
IC4202,1.59,8.296554081110472e-11
IC4202,2.36,7.827391619121759e-11
IC4202,3.13,7.425222821422552e-11
IC4202,3.95,7.187933651492491e-11
IC4202,4.73,7.029837313606193e-11
IC4202,5.5,6.810580937398226e-11
IC4202,6.27,6.59921754323362e-11
IC4202,7.08,6.485397666356648e-11
IC4202,7.86,6.45727217870994e-11
IC4202,8.66,6.430334745187495e-11
IC4202,9.45,6.379853753424103e-11
IC4202,10.24,6.30197127879546e-11
IC4202,11.02,6.202381464651011e-11
IC4202,11.79,6.09346426882694e-11
IC4202,12.47,5.986221137944607e-11
IC4202,13.34,5.845867349638656e-11
IC4202,14.11,5.722022443082445e-11
IC4202,14.59,5.645550883951751e-11
IC4202,14.98,5.5852713541468095e-11
IC4202,15.75,5.464793016626351e-11
IC4202,16.52,5.344371264299848e-11
IC4202,17.1,5.251748052360904e-11
IC4202,17.88,5.126791017656514e-11
IC4202,18.65,5.0060984263808324e-11
IC4202,19.62,4.861358737833862e-11
IC4202,20.78,4.7134329341018056e-11
IC4202,22.13,4.5643305641120995e-11
IC4202,23.0,4.4669717594537064e-11
IC4202,23.58,4.4034937941419834e-11
IC4202,25.03,4.223485953799418e-11
IC4202,25.9,4.116393071128974e-11
NGC0024,0.21,4.8879594639298545e-11
NGC0024,0.32,5.274459554165576e-11
NGC0024,0.43,5.2620532222741313e-11
NGC0024,0.54,5.3496319966509484e-11
NGC0024,0.64,5.3411784769162955e-11
NGC0024,0.74,5.347895759976611e-11
NGC0024,0.85,5.403681847069993e-11
NGC0024,0.96,5.476468435977827e-11
NGC0024,1.07,5.528135276304531e-11
NGC0024,1.17,5.559959866880944e-11
NGC0024,1.28,5.596801680778831e-11
NGC0024,1.38,5.627653351914922e-11
NGC0024,1.48,5.6705062344439574e-11
NGC0024,1.59,5.681574695513841e-11
NGC0024,1.7,5.6833651535698844e-11
NGC0024,1.8,5.653434661419921e-11
NGC0024,1.91,5.61771262886331e-11
NGC0024,2.02,5.554836203840036e-11
NGC0024,2.13,5.49124950717999e-11
NGC0024,2.23,5.427570543780952e-11
NGC0024,2.34,5.371987600600512e-11
NGC0024,2.44,5.31680841272333e-11
NGC0024,2.54,5.254714534840478e-11
NGC0024,2.65,5.188922330698999e-11
NGC0024,2.76,5.1226644736376016e-11
NGC0024,7.07,3.113411434971045e-11
NGC0024,8.49,2.6724205679688875e-11
NGC0024,9.91,2.3126194219655765e-11
NGC0024,11.27,2.0384943404461963e-11
NGC0055,1.23,2.653677860635085e-11
NGC0055,1.84,2.7646331502770252e-11
NGC0055,2.46,2.749660859147949e-11
NGC0055,3.07,2.7456068516274113e-11
NGC0055,3.68,2.7697866031170554e-11
NGC0055,4.3,2.789437901847238e-11
NGC0055,4.91,2.7568231726584536e-11
NGC0055,5.52,2.710295270259501e-11
NGC0055,6.14,2.6536879858168505e-11
NGC0055,6.75,2.593017755076118e-11
NGC0055,7.37,2.5311678496238552e-11
NGC0055,7.98,2.4711545634048378e-11
NGC0055,8.59,2.427082422718464e-11
NGC0055,9.21,2.361291943923366e-11
NGC0055,9.82,2.2802231779183994e-11
NGC0055,10.43,2.1942000224986543e-11
NGC0055,11.05,2.0888113246018518e-11
NGC0055,11.66,1.9911056989446172e-11
NGC0055,12.28,1.9236938050424623e-11
NGC0055,12.89,1.8683314875951e-11
NGC0055,13.5,1.816157125442035e-11
NGC0247,1.08,2.422205467172337e-11
NGC0247,1.61,2.6243581267034023e-11
NGC0247,2.15,2.6554798747141084e-11
NGC0247,2.7,2.641557526511398e-11
NGC0247,3.22,2.6532154915984575e-11
NGC0247,3.77,2.6541619226505407e-11
NGC0247,4.31,2.6530602884615555e-11
NGC0247,4.85,2.6306585626086062e-11
NGC0247,5.38,2.5840948735860602e-11
NGC0247,5.92,2.5520101846886972e-11
NGC0247,6.46,2.535006794505234e-11
NGC0247,6.99,2.531959186462659e-11
NGC0247,7.53,2.5448469351264956e-11
NGC0247,8.07,2.5411971739763406e-11
NGC0247,8.62,2.5332150422726553e-11
NGC0247,9.14,2.5355113005186022e-11
NGC0247,9.69,2.5352630956291568e-11
NGC0247,10.23,2.5271251675164706e-11
NGC0247,10.76,2.5120742223949478e-11
NGC0247,11.3,2.4833003773254713e-11
NGC0247,11.84,2.4368061100670576e-11
NGC0247,12.38,2.3780382475200523e-11
NGC0247,12.91,2.3038778409244927e-11
NGC0247,13.48,2.2168467704926413e-11
NGC0247,14.01,2.13109993112899e-11
NGC0247,14.54,2.0469764451766234e-11
NGC0300,0.91,3.6349763580865285e-11
NGC0300,1.36,3.558250489255398e-11
NGC0300,1.82,3.470989513301799e-11
NGC0300,2.27,3.43354645912774e-11
NGC0300,2.72,3.3603432862267646e-11
NGC0300,3.17,3.244069019345021e-11
NGC0300,3.63,3.1038620772971585e-11
NGC0300,4.08,2.976509551182981e-11
NGC0300,4.54,2.8808395105992745e-11
NGC0300,4.99,2.7637489100299455e-11
NGC0300,5.45,2.641792331466306e-11
NGC0300,5.9,2.5556228786033686e-11
NGC0300,6.36,2.5484094583023107e-11
NGC0300,6.81,2.550041661840379e-11
NGC0300,7.26,2.5323626754428306e-11
NGC0300,7.71,2.4722111229495002e-11
NGC0300,8.17,2.3674158245688288e-11
NGC0300,8.62,2.2555552106175613e-11
NGC0300,9.07,2.1625254128141325e-11
NGC0300,9.53,2.0822848245813164e-11
NGC0300,9.96,1.9856192640228846e-11
NGC0300,10.45,1.885629224324152e-11
NGC0300,10.93,1.7939580006859917e-11
NGC0300,11.32,1.7209150757881478e-11
NGC0300,11.8,1.6606029461936835e-11
NGC0801,1.17,8.54602289680318e-11
NGC0801,1.56,8.530484078818897e-11
NGC0801,1.96,8.492546237477575e-11
NGC0801,2.73,8.406206901053717e-11
NGC0801,3.52,8.240802705956698e-11
NGC0801,10.59,6.40106406538902e-11
NGC0801,17.65,5.225439154152882e-11
NGC0801,24.61,4.496600424199623e-11
NGC0801,31.67,4.0842673110680685e-11
NGC0801,38.74,3.602112574991769e-11
NGC0801,45.8,3.1300893929411725e-11
NGC0801,52.86,2.8031154064301062e-11
NGC0801,59.82,2.605973237142661e-11
NGC0891,0.92,9.3868577283709e-11
NGC0891,2.32,8.923719775225409e-11
NGC0891,3.24,8.727101990730242e-11
NGC0891,4.17,8.292082318933048e-11
NGC0891,5.1,7.838011445380433e-11
NGC0891,6.03,7.425798937943396e-11
NGC0891,6.96,7.070212160632273e-11
NGC0891,7.89,6.706328341440898e-11
NGC0891,8.8,6.438872305160566e-11
NGC0891,9.73,6.108324776787903e-11
NGC0891,10.64,5.836626506188007e-11
NGC0891,11.58,5.595875143047614e-11
NGC0891,12.52,5.343080305651229e-11
NGC0891,13.46,5.162026662728352e-11
NGC0891,14.4,4.964609318244505e-11
NGC0891,15.33,4.7577120147750513e-11
NGC0891,16.27,4.556900414689355e-11
NGC0891,17.11,4.375183092391247e-11
NGC2403,0.16,5.194152215888388e-11
NGC2403,0.26,5.806999223010832e-11
NGC2403,0.36,6.238027836648136e-11
NGC2403,0.46,6.464184315781455e-11
NGC2403,0.56,6.531624221285347e-11
NGC2403,0.66,6.448412188662805e-11
NGC2403,0.76,6.368849840841157e-11
NGC2403,0.86,6.250801334212571e-11
NGC2403,0.96,6.158187288615565e-11
NGC2403,1.06,6.089910165961138e-11
NGC2403,1.16,6.038696622852983e-11
NGC2403,1.27,5.998916967905448e-11
NGC2403,1.36,6.005865484286015e-11
NGC2403,1.47,5.981422447525988e-11
NGC2403,1.57,5.977299655022663e-11
NGC2403,1.67,5.990912934735393e-11
NGC2403,1.77,5.994864203988936e-11
NGC2403,1.87,5.982796923389669e-11
NGC2403,1.97,5.969037775949494e-11
NGC2403,2.08,5.955040314824286e-11
NGC2403,2.18,5.949415065074777e-11
NGC2403,2.28,5.893879274291824e-11
NGC2403,2.37,5.8101963992687886e-11
NGC2403,2.47,5.720282260512821e-11
NGC2403,2.57,5.638090881978371e-11
NGC2403,2.68,5.545944805253108e-11
NGC2403,2.78,5.467186443326332e-11
NGC2403,2.88,5.392091307434603e-11
NGC2403,2.98,5.3249677176767707e-11
NGC2403,3.08,5.269978459386961e-11
NGC2403,3.19,5.2130806280339444e-11
NGC2403,3.29,5.176530832200314e-11
NGC2403,3.39,5.146028562103103e-11
NGC2403,3.49,5.1143539718736677e-11
NGC2403,3.59,5.073639392005937e-11
NGC2403,3.69,5.044752164897622e-11
NGC2403,3.79,5.005582866937681e-11
NGC2403,3.9,4.9541019723059975e-11
NGC2403,3.99,4.910654535954428e-11
NGC2403,4.47,4.702842815639484e-11
NGC2403,4.97,4.493334859723305e-11
NGC2403,5.47,4.293002112361454e-11
NGC2403,5.96,4.092807683025956e-11
NGC2403,6.46,3.902678827283196e-11
NGC2403,6.96,3.7468809919648534e-11
NGC2403,7.45,3.609014964890893e-11
NGC2403,7.95,3.4821410977953035e-11
NGC2403,8.45,3.3760966000590126e-11
NGC2403,8.94,3.285248849893792e-11
NGC2403,9.44,3.199213534563709e-11
NGC2403,9.94,3.1144842110595404e-11
NGC2403,10.43,3.049301209961199e-11
NGC2403,10.93,2.983397829328009e-11
NGC2403,11.43,2.9163229703704644e-11
NGC2403,11.92,2.847345077414274e-11
NGC2403,12.42,2.7855907322598368e-11
NGC2403,12.92,2.723669116896719e-11
NGC2403,13.42,2.652833271446937e-11
NGC2403,13.91,2.5806812171523908e-11
NGC2403,14.41,2.5151891616268182e-11
NGC2403,14.91,2.4534993373415968e-11
NGC2403,15.4,2.393014199414111e-11
NGC2403,15.9,2.3318302562194417e-11
NGC2403,16.4,2.2714792912156475e-11
NGC2403,16.89,2.2085515277659943e-11
NGC2403,17.39,2.1498040564089088e-11
NGC2403,17.89,2.0905853359326462e-11
NGC2403,18.38,2.0347896615966082e-11
NGC2403,18.88,1.979630735879519e-11
NGC2403,19.38,1.936277530347671e-11
NGC2403,19.87,1.9053538921340264e-11
NGC2403,20.37,1.8749829663407958e-11
NGC2403,20.87,1.8467123728996253e-11
NGC2683,2.89,8.084327066265168e-11
NGC2683,5.77,7.262727232852743e-11
NGC2683,8.66,6.061231566621718e-11
NGC2683,11.54,5.340000013711766e-11
NGC2683,14.43,4.5019807730611685e-11
NGC2683,17.31,3.905100379504437e-11
NGC2683,20.2,3.428724015102008e-11
NGC2683,23.08,3.047107300164199e-11
NGC2683,28.85,2.501192696960658e-11
NGC2683,31.74,2.2961752571730936e-11
NGC2683,34.62,2.1234541244079855e-11
NGC2841,3.44,8.808583665207946e-11
NGC2841,3.77,8.682173734847089e-11
NGC2841,4.13,8.564173322582262e-11
NGC2841,4.47,8.458112014934148e-11
NGC2841,4.8,8.359961222898502e-11
NGC2841,5.13,8.269799118972185e-11
NGC2841,5.48,8.18263358720727e-11
NGC2841,5.83,8.094624765105985e-11
NGC2841,6.16,8.015377943537592e-11
NGC2841,6.51,7.959233459618666e-11
NGC2841,6.86,7.904957202970762e-11
NGC2841,7.18,7.850980604604074e-11
NGC2841,7.51,7.797736617217076e-11
NGC2841,7.85,7.753541643024711e-11
NGC2841,8.21,7.70140031998437e-11
NGC2841,8.57,7.636617704844176e-11
NGC2841,8.9,7.572344760290405e-11
NGC2841,9.24,7.497688246269399e-11
NGC2841,9.6,7.416685840808708e-11
NGC2841,9.93,7.349444762524058e-11
NGC2841,10.27,7.286917367030488e-11
NGC2841,10.6,7.226293252311921e-11
NGC2841,10.93,7.167234542767375e-11
NGC2841,11.27,7.104953884297845e-11
NGC2841,12.31,6.893577642778262e-11
NGC2841,14.35,6.427662446447059e-11
NGC2841,16.4,5.961640604909361e-11
NGC2841,18.48,5.5561408167533625e-11
NGC2841,20.57,5.218413076791615e-11
NGC2841,22.51,4.9750600541731776e-11
NGC2841,24.59,4.7123269651436444e-11
NGC2841,26.68,4.423166709217574e-11
NGC2841,28.77,4.158186546486688e-11
NGC2841,30.7,3.945589683922818e-11
NGC2841,32.79,3.756444520002011e-11
NGC2841,34.88,3.606144858971493e-11
NGC2841,36.96,3.482395012856612e-11
NGC2841,38.9,3.37704014167152e-11
NGC2841,40.99,3.263181866465715e-11
NGC2841,43.08,3.1495868012750414e-11
NGC2841,45.16,3.031008100334207e-11
NGC2841,47.1,2.913376109474061e-11
NGC2841,49.19,2.7936835750774545e-11
NGC2841,51.27,2.6914434556040945e-11
NGC2841,53.36,2.6111189897228864e-11
NGC2841,55.3,2.5583831778922225e-11
NGC2841,57.38,2.5118488657375964e-11
NGC2841,59.47,2.4685787267426886e-11
NGC2841,61.56,2.4187948324229323e-11
NGC2841,63.64,2.3627329399908868e-11
NGC2915,0.34,6.632555911359863e-11
NGC2915,0.67,5.802746699839569e-11
NGC2915,1.0,5.027369451414764e-11
NGC2915,1.34,4.39162109480652e-11
NGC2915,1.68,3.854239264923452e-11
NGC2915,2.01,3.431566428572395e-11
NGC2915,2.34,3.091700503923867e-11
NGC2915,2.67,2.8093911634442663e-11
NGC2915,3.01,2.5534437229665554e-11
NGC2915,3.35,2.3379319678743416e-11
NGC2915,3.68,2.1839459289639305e-11
NGC2915,4.02,2.0680317954660408e-11
NGC2915,4.35,1.9845005718581673e-11
NGC2915,4.68,1.91025918823076e-11
NGC2915,5.02,1.8297993550276793e-11
NGC2915,5.35,1.7461946345174042e-11
NGC2915,5.69,1.6593837729450935e-11
NGC2915,6.03,1.5819838435338258e-11
NGC2915,6.36,1.530996062586178e-11
NGC2915,6.69,1.5012131310026913e-11
NGC2915,7.02,1.4865463324341968e-11
NGC2915,7.36,1.470468936705078e-11
NGC2915,7.7,1.4305173567607035e-11
NGC2915,8.03,1.4047222107281808e-11
NGC2915,8.37,1.3846277038107323e-11
NGC2915,8.7,1.3635422986895815e-11
NGC2915,9.03,1.3490924589283044e-11
NGC2915,9.37,1.3271700726282145e-11
NGC2915,9.7,1.3114080999219293e-11
NGC2915,10.04,1.2840072479597774e-11
NGC2955,0.75,9.10858561845619e-11
NGC2955,1.55,9.03219658194763e-11
NGC2955,2.3,8.897140341710491e-11
NGC2955,3.06,8.828657636663898e-11
NGC2955,3.85,8.695781820929134e-11
NGC2955,4.61,8.541294696100399e-11
NGC2955,5.36,8.369775795534926e-11
NGC2955,6.12,8.198785286005668e-11
NGC2955,6.91,8.038992010290893e-11
NGC2955,7.66,7.911808104231685e-11
NGC2955,8.42,7.755225208989511e-11
NGC2955,8.86,7.652543193977299e-11
NGC2955,9.21,7.56592408456175e-11
NGC2955,10.82,7.187547264813675e-11
NGC2955,11.56,7.025570481249894e-11
NGC2955,12.4,6.849584067512296e-11
NGC2955,14.17,6.570873458753393e-11
NGC2955,16.88,6.14713139109274e-11
NGC2955,19.49,5.851186738310521e-11
NGC2955,22.19,5.501321116150716e-11
NGC2955,24.8,5.177605792250599e-11
NGC2955,27.51,4.854663670824728e-11
NGC2955,30.12,4.5741086937021967e-11
NGC2955,35.43,4.119582359926378e-11
NGC2976,0.11,3.77477435195001e-11
NGC2976,0.17,3.8952234150312904e-11
NGC2976,0.24,4.090899630282161e-11
NGC2976,0.31,4.217186323825236e-11
NGC2976,0.38,4.2985374086685947e-11
NGC2976,0.45,4.3722211212800965e-11
NGC2976,0.52,4.4562368556723936e-11
NGC2976,0.59,4.543749343206269e-11
NGC2976,0.66,4.622289673514313e-11
NGC2976,0.73,4.693224670567151e-11
NGC2976,0.8,4.757266500429804e-11
NGC2976,0.87,4.819698132585602e-11
NGC2976,0.94,4.897801308058455e-11
NGC2976,1.01,5.0123774271469314e-11
NGC2976,1.08,5.133658667650289e-11
NGC2976,1.14,5.2300586975818027e-11
NGC2976,1.21,5.360180588467235e-11
NGC2976,1.29,5.497378852881754e-11
NGC2976,1.35,5.592962263654352e-11
NGC2976,1.42,5.6797007077863556e-11
NGC2976,1.49,5.754027940875933e-11
NGC2976,1.56,5.81803340631485e-11
NGC2976,1.63,5.848581025695776e-11
NGC2976,1.74,5.844829533451143e-11
NGC2976,1.93,5.590027765344297e-11
NGC2976,2.1,5.3488488361223195e-11
NGC2976,2.27,5.151754558942621e-11
NGC2998,0.33,6.385792048653894e-11
NGC2998,0.99,7.027587560877295e-11
NGC2998,1.98,7.035743047817003e-11
NGC2998,2.64,7.081035653534991e-11
NGC2998,3.63,7.345542445122103e-11
NGC2998,7.59,6.528529346257884e-11
NGC2998,12.5,5.579311376270876e-11
NGC2998,17.48,4.852447690799039e-11
NGC2998,22.46,4.150758479900089e-11
NGC2998,27.44,3.710362023403666e-11
NGC2998,32.32,3.3756060917044075e-11
NGC2998,37.3,3.059423700168259e-11
NGC2998,42.28,2.768410926800391e-11
NGC3109,0.26,7.714034740230122e-12
NGC3109,0.52,9.669634666468285e-12
NGC3109,0.77,1.3145888357955205e-11
NGC3109,1.03,1.4932594779579088e-11
NGC3109,1.29,1.6496906373062685e-11
NGC3109,1.55,1.7483439647091837e-11
NGC3109,1.81,1.81684128683876e-11
NGC3109,2.06,1.8496563429680298e-11
NGC3109,2.32,1.8316811181566156e-11
NGC3109,2.58,1.798965028651669e-11
NGC3109,2.84,1.7669324039910973e-11
NGC3109,3.1,1.7415176072472806e-11
NGC3109,3.35,1.7326810281221e-11
NGC3109,3.61,1.718551264020233e-11
NGC3109,3.87,1.6524404054616685e-11
NGC3109,4.13,1.5893197858551667e-11
NGC3109,4.38,1.5677444499171345e-11
NGC3109,4.64,1.5500211326383618e-11
NGC3109,4.9,1.539355199165944e-11
NGC3109,5.16,1.5285205752088472e-11
NGC3109,5.42,1.530238484470692e-11
NGC3109,5.67,1.5319949847478977e-11
NGC3109,5.93,1.5028229937354948e-11
NGC3109,6.19,1.4613358093563296e-11
NGC3109,6.45,1.422487211236622e-11
NGC3198,0.32,7.576967400436412e-11
NGC3198,0.64,6.951189441354541e-11
NGC3198,0.96,6.499661475826923e-11
NGC3198,1.28,6.160861070605651e-11
NGC3198,1.61,5.824633859249914e-11
NGC3198,1.93,5.4663482011606354e-11
NGC3198,2.24,5.366465921742078e-11
NGC3198,2.57,5.2040962627564284e-11
NGC3198,2.89,5.0081912442295685e-11
NGC3198,3.21,5.009039732154253e-11
NGC3198,3.54,5.100239189912083e-11
