galaxy,r_kpc,delta_a
UGC01281,2.68,2.0791408768211642e-11
UGC01281,2.76,2.0686622566054318e-11
UGC01281,3.07,2.0285379553561712e-11
UGC01281,3.46,2.00135986896362e-11
UGC01281,3.83,1.914087086243499e-11
UGC01281,4.23,1.801218691600832e-11
UGC01281,4.62,1.802860079450681e-11
UGC01281,4.99,1.787787258255156e-11
UGC02487,9.93,7.680933072221666e-11
UGC02487,10.05,7.668293823061418e-11
UGC02487,10.35,7.638881232559441e-11
UGC02487,15.07,6.944939930526148e-11
UGC02487,20.09,6.314841577039432e-11
UGC02487,25.12,5.774555918705648e-11
UGC02487,30.14,5.3170804322479775e-11
UGC02487,35.17,4.81512157325302e-11
UGC02487,40.19,4.376415080072298e-11
UGC02487,45.21,4.0137769197545117e-11
UGC02487,50.24,3.695190562531749e-11
UGC02487,55.26,3.4268805082424506e-11
UGC02487,60.28,3.208902645991874e-11
UGC02487,65.31,2.999494953316463e-11
UGC02487,70.33,2.8177891404755536e-11
UGC02487,75.35,2.649601951526822e-11
UGC02487,80.38,2.495999103947987e-11
UGC02885,1.7,9.339886048189849e-11
UGC02885,3.41,8.72530060284841e-11
UGC02885,6.82,7.848833730914924e-11
UGC02885,13.67,6.64835322773535e-11
UGC02885,19.49,5.872208816224514e-11
UGC02885,23.36,5.5213399098321156e-11
UGC02885,27.24,5.180497676610532e-11
UGC02885,31.22,4.825192734150367e-11
UGC02885,35.1,4.5205698644919025e-11
UGC02885,38.97,4.2836900766409454e-11
UGC02885,42.85,4.062579127144572e-11
UGC02885,46.73,3.7935585522554154e-11
UGC02885,50.71,3.64529130388301e-11
UGC02885,54.58,3.541832791690092e-11
UGC02885,58.46,3.4075309959712925e-11
UGC02885,62.34,3.242069443894143e-11
UGC02885,66.21,3.0982773714847486e-11
UGC02885,70.19,2.9949400148794257e-11
UGC02885,74.07,2.874965622848729e-11
UGC02916,0.37,9.053576490152988e-11
UGC02916,0.74,9.209170858369008e-11
UGC02916,1.11,9.101602016027439e-11
UGC02916,1.48,9.016031069469343e-11
UGC02916,1.84,8.957960907717383e-11
UGC02916,2.21,8.894264110326996e-11
UGC02916,2.6,8.784438174175868e-11
UGC02916,2.96,8.615235294603842e-11
UGC02916,3.17,8.538676372606152e-11
UGC02916,3.33,8.470092436381863e-11
UGC02916,3.7,8.310028329052354e-11
UGC02916,4.07,8.14360285058824e-11
UGC02916,4.44,7.970718458452742e-11
UGC02916,4.81,7.794254130610386e-11
UGC02916,5.18,7.617923960151435e-11
UGC02916,5.55,7.434644714065593e-11
UGC02916,5.92,7.258144087163609e-11
UGC02916,6.28,7.097748324547978e-11
UGC02916,6.34,7.072558800072281e-11
UGC02916,6.65,6.946529582829182e-11
UGC02916,7.03,6.800323263849795e-11
UGC02916,7.39,6.668659066190246e-11
UGC02916,7.77,6.533774348937093e-11
UGC02916,8.14,6.413994574102563e-11
UGC02916,8.51,6.296791978793319e-11
UGC02916,8.88,6.183060680613857e-11
UGC02916,9.25,6.079662065620733e-11
UGC02916,9.52,6.003550471907707e-11
UGC02916,9.62,5.975894352070444e-11
UGC02916,9.99,5.876753019648899e-11
UGC02916,10.4,5.7707650960588865e-11
UGC02916,10.71,5.697539039279313e-11
UGC02916,11.12,5.6013066702207524e-11
UGC02916,12.67,5.280896541329684e-11
UGC02916,12.98,5.2241127050625873e-11
UGC02916,15.86,4.7813138635442605e-11
UGC02916,19.05,4.438929601101258e-11
UGC02916,22.14,4.175756411084385e-11
UGC02916,25.34,3.888805513576518e-11
UGC02916,28.53,3.5940519071204137e-11
UGC02916,31.72,3.3062692076738744e-11
UGC02916,34.91,3.0797424501062626e-11
UGC02916,38.0,2.8856482254929545e-11
UGC03205,0.28,9.026097326716108e-11
UGC03205,0.55,9.22778509447635e-11
UGC03205,0.83,9.10251952999187e-11
UGC03205,1.39,8.777174141086762e-11
UGC03205,1.65,8.660091684344847e-11
UGC03205,3.04,7.983699463356926e-11
UGC03205,3.32,7.859785507381274e-11
UGC03205,3.59,7.766973448214027e-11
UGC03205,3.87,7.697733323489804e-11
UGC03205,4.15,7.669178251591e-11
UGC03205,4.43,7.650483175954356e-11
UGC03205,4.7,7.622554052345421e-11
UGC03205,4.97,7.581908428369215e-11
UGC03205,5.25,7.536407359629908e-11
UGC03205,5.52,7.50872496618996e-11
UGC03205,5.8,7.485752284204849e-11
UGC03205,6.08,7.458992398254227e-11
UGC03205,6.36,7.430720251712836e-11
UGC03205,6.63,7.390117916187172e-11
UGC03205,6.91,7.341199646016278e-11
UGC03205,7.19,7.285678452992549e-11
UGC03205,7.27,7.268001176312691e-11
UGC03205,7.46,7.225346929222004e-11
UGC03205,8.02,7.100190720861924e-11
UGC03205,8.29,7.03860805684315e-11
UGC03205,8.56,6.976571683340859e-11
UGC03205,8.84,6.907805902020973e-11
UGC03205,9.12,6.839766101849266e-11
UGC03205,9.69,6.695035555859249e-11
UGC03205,12.11,6.052226888130443e-11
UGC03205,14.58,5.4602087320709595e-11
UGC03205,14.68,5.437498343273582e-11
UGC03205,15.2,5.325354933355858e-11
UGC03205,15.5,5.2665561188606525e-11
UGC03205,15.71,5.2278349728167755e-11
UGC03205,16.02,5.170710359140687e-11
UGC03205,16.32,5.115860500144362e-11
UGC03205,16.53,5.0801656306650466e-11
UGC03205,16.84,5.027904975037667e-11
UGC03205,16.94,5.0124044312027286e-11
UGC03205,19.4,4.6241356699914624e-11
UGC03205,21.77,4.304019374948223e-11
UGC03205,24.23,3.987985445234324e-11
UGC03205,26.69,3.706986363218293e-11
UGC03205,29.06,3.4582270658769545e-11
UGC03205,31.52,3.226320409441018e-11
UGC03205,36.34,2.844295050439636e-11
UGC03205,40.04,2.593460543878434e-11
UGC04483,0.08,1.814241145977777e-11
UGC04483,0.24,2.480121319395158e-11
UGC04483,0.4,2.5142491906328472e-11
UGC04483,0.57,2.431893680340749e-11
UGC04483,0.73,2.3176996871652077e-11
UGC04483,0.89,2.181954748115998e-11
UGC04483,1.05,2.0767068751563758e-11
UGC04483,1.21,1.9782630806722828e-11
UGC05005,0.78,2.1127481883657954e-11
UGC05005,2.34,2.3275555149786976e-11
UGC05005,3.91,2.4394332510333964e-11
UGC05005,5.47,2.3580061638111705e-11
UGC05005,7.04,2.165465512681454e-11
UGC05005,8.6,2.060615733409703e-11
UGC05005,10.17,1.9706262688287284e-11
UGC05005,17.97,1.6672724524413184e-11
UGC05005,21.07,1.550041114163631e-11
UGC05005,22.72,1.4962000565687886e-11
UGC05005,28.61,1.3596093928008138e-11
UGC05750,0.31,1.0174850155803635e-11
UGC05750,1.47,1.857777447014135e-11
UGC05750,2.52,1.883710845341376e-11
UGC05750,3.35,1.9007186716258764e-11
UGC05750,4.09,1.812469745998871e-11
UGC05750,4.82,1.834385056912884e-11
UGC05750,6.6,2.005666192099883e-11
UGC05750,7.86,2.0375683020954473e-11
UGC05750,9.43,2.060746797076003e-11
UGC05750,11.43,1.8599727607031388e-11
UGC05750,22.85,1.483658810743972e-11
UGC06399,0.87,2.474114492593143e-11
UGC06399,1.74,2.7775002892856433e-11
UGC06399,2.61,2.6697826559186674e-11
UGC06399,3.5,2.7300210626391492e-11
UGC06399,4.37,2.6385924949872156e-11
UGC06399,5.24,2.567387999082972e-11
UGC06399,6.11,2.4665271182168398e-11
UGC06399,6.98,2.336870284453859e-11
UGC06399,7.85,2.209884227423783e-11
UGC06614,3.23,7.734408142441496e-11
UGC06614,9.18,5.159702762343654e-11
UGC06614,10.64,4.79190459123414e-11
UGC06614,11.58,4.6151499914620146e-11
UGC06614,12.52,4.4839272749975164e-11
UGC06614,13.57,4.408356397872528e-11
UGC06614,15.76,4.162911701171147e-11
UGC06614,24.94,2.999789905464461e-11
UGC06614,26.3,2.8789779345008413e-11
UGC06614,34.96,2.3592291744236486e-11
UGC06614,36.84,2.278792620524517e-11
UGC06614,47.38,2.041910367766398e-11
UGC06614,64.59,1.7253497085666677e-11
UGC06667,0.87,1.004757293031706e-11
UGC06667,1.74,1.1182570881963e-11
UGC06667,2.61,1.475046725680629e-11
UGC06667,3.5,1.8257836441375405e-11
UGC06667,4.37,1.836987198304877e-11
UGC06667,5.24,1.9512500553156295e-11
UGC06667,6.11,1.910106913911644e-11
UGC06667,6.98,1.930934960787302e-11
UGC06667,7.85,1.813401420207145e-11
UGC06818,0.87,2.8802945077140677e-11
UGC06818,1.74,2.869154509754148e-11
UGC06818,2.61,2.5787652797113034e-11
UGC06818,3.5,2.3799466759183807e-11
UGC06818,4.37,2.193862749184339e-11
UGC06818,5.24,2.1231742923650133e-11
UGC06818,6.11,1.9953248451175122e-11
UGC06818,6.98,1.8733517660028353e-11
UGC06917,1.74,4.3847518885465456e-11
UGC06917,2.61,3.911851158701959e-11
UGC06917,3.5,3.6388330001698915e-11
UGC06917,4.37,3.516159949402247e-11
UGC06917,5.24,3.348439107743408e-11
UGC06917,6.11,3.199517261780211e-11
UGC06917,6.98,3.105760519775341e-11
UGC06917,7.85,2.9812855514312495e-11
UGC06917,8.72,2.8599443838116588e-11
UGC06917,9.6,2.7991646959140324e-11
UGC06917,10.47,2.7875718217230303e-11
UGC06923,0.93,5.0666075752960256e-11
UGC06923,1.94,4.297818953518878e-11
UGC06923,2.87,3.899569823609507e-11
UGC06923,3.72,3.6064628101407624e-11
UGC06923,4.47,3.384909980032497e-11
UGC06923,5.16,3.2195012110805605e-11
UGC06930,1.74,3.9478458328540155e-11
UGC06930,3.5,3.347099302041265e-11
UGC06930,5.24,3.116814407453352e-11
UGC06930,6.98,3.01289669293731e-11
UGC06930,8.72,2.8833584152272984e-11
UGC06930,10.47,2.7799709835218905e-11
UGC06930,12.19,2.6801749358183292e-11
UGC06930,13.94,2.510748864763107e-11
UGC06930,15.68,2.2472723236985788e-11
UGC06930,16.61,2.130945998656747e-11
UGC06983,1.74,4.584527732834509e-11
UGC06983,2.61,4.236554044000825e-11
UGC06983,3.5,3.69641035319613e-11
UGC06983,4.37,3.339592753210036e-11
UGC06983,5.24,3.1604370707964934e-11
UGC06983,6.11,2.9650586445403496e-11
UGC06983,6.98,2.896236967580245e-11
UGC06983,7.85,2.8856968735945285e-11
UGC06983,8.72,2.7366653528137174e-11
UGC06983,9.6,2.6239297201744607e-11
UGC06983,10.47,2.6016103193851512e-11
UGC06983,11.35,2.5404378846285824e-11
UGC06983,12.19,2.4547938213716226e-11
UGC06983,13.12,2.3727231224951066e-11
UGC06983,13.94,2.2764867190356734e-11
UGC06983,14.86,2.16912976028168e-11
UGC06983,15.68,2.0780225598050558e-11
UGC07089,0.87,2.1893087100789347e-11
UGC07089,1.74,2.649786250754684e-11
UGC07089,2.61,2.784857430343105e-11
UGC07089,3.5,2.684005785794051e-11
UGC07089,4.37,2.583454153073257e-11
UGC07089,5.24,2.5143351531268363e-11
UGC07089,6.11,2.4148579297428602e-11
UGC07089,6.55,2.3654652041605347e-11
UGC07089,6.98,2.3210276992729094e-11
UGC07089,7.85,2.2327017989364948e-11
UGC07089,8.72,2.137353372486287e-11
UGC07089,9.16,2.07567572368554e-11
UGC07151,0.5,3.8198517865905737e-11
UGC07151,1.0,4.199642932064842e-11
UGC07151,1.5,4.057045055595707e-11
UGC07151,2.0,3.8776720481574117e-11
UGC07151,2.49,3.6977971991434593e-11
UGC07151,3.0,3.507266794819668e-11
UGC07151,3.49,3.26459762602931e-11
UGC07151,4.0,3.218701771047313e-11
UGC07151,4.49,3.11749760429104e-11
UGC07151,5.01,3.042059039520754e-11
UGC07151,5.5,2.9935782619058756e-11
UGC07232,0.21,3.6985958074512965e-11
UGC07232,0.41,4.198079659842733e-11
UGC07232,0.62,3.838991306323842e-11
UGC07232,0.82,3.51173682238799e-11
UGC07524,0.35,2.9688298589884954e-11
UGC07524,0.69,2.5363452302152352e-11
UGC07524,1.03,2.3718526309571548e-11
UGC07524,1.38,2.1924995628147136e-11
UGC07524,1.72,2.1304554661985515e-11
UGC07524,2.07,2.1335230824871406e-11
UGC07524,2.41,2.1180191559276363e-11
UGC07524,2.76,2.1886006796682124e-11
UGC07524,3.1,2.210299111737304e-11
UGC07524,3.45,2.2355856137296246e-11
UGC07524,3.79,2.258122861522797e-11
UGC07524,4.14,2.2928654693798117e-11
UGC07524,4.48,2.2970077532083653e-11
UGC07524,4.82,2.274927333135131e-11
UGC07524,5.17,2.2540612900258328e-11
UGC07524,5.51,2.201520210550685e-11
UGC07524,5.86,2.143292577358366e-11
UGC07524,6.2,2.122471736325759e-11
UGC07524,6.55,2.1221697135207508e-11
UGC07524,6.89,2.1314957979049797e-11
UGC07524,7.25,2.1421409362732665e-11
UGC07524,7.58,2.160131165479084e-11
UGC07524,7.94,2.1809909372090163e-11
UGC07524,8.27,2.2059874449243006e-11
UGC07524,8.63,2.2310852309883535e-11
UGC07524,8.97,2.2401225020147607e-11
UGC07524,9.3,2.24606979753731e-11
UGC07524,9.66,2.2438345928744866e-11
UGC07524,9.99,2.2392528323284574e-11
UGC07524,10.35,2.2333532824967044e-11
UGC07524,10.69,2.2003248948313063e-11
UGC07559,0.36,1.7682094340415093e-11
UGC07559,0.72,2.062066317396476e-11
UGC07559,1.08,1.9950593359683966e-11
UGC07559,1.45,1.9273777280618067e-11
UGC07559,1.8,1.8888885022976468e-11
UGC07559,2.17,1.9089789624097086e-11
UGC07559,2.53,1.9430417695397076e-11
UGC07577,0.19,1.1139991787224691e-11
UGC07577,0.38,1.2019307208526901e-11
UGC07577,0.57,1.2791253005603795e-11
UGC07577,0.75,1.5702511134069983e-11
UGC07577,0.94,1.6201021720302002e-11
UGC07577,1.13,1.6100586219914396e-11
UGC07577,1.32,1.6651595600574582e-11
UGC07577,1.51,1.6192719022950052e-11
UGC07577,1.69,1.5240664867688978e-11
UGC07866,0.33,2.251270637635194e-11
UGC07866,0.66,2.2185935703041837e-11
UGC07866,1.0,2.3680782869302237e-11
UGC07866,1.33,2.3092926774313442e-11
UGC07866,1.67,2.205972849724082e-11
UGC07866,2.0,2.160968243482466e-11
UGC07866,2.32,2.0734657565400007e-11
UGC08286,0.47,3.207339118986502e-11
UGC08286,0.95,3.276906442119499e-11
UGC08286,1.42,3.291231150964969e-11
UGC08286,1.9,3.390119027108737e-11
UGC08286,2.37,3.418569812653262e-11
UGC08286,2.84,3.227637285569931e-11
UGC08286,3.3,3.12502730738221e-11
UGC08286,3.78,3.0123148097839676e-11
UGC08286,4.25,2.932398016460809e-11
UGC08286,4.73,2.8514235807795366e-11
UGC08286,5.2,2.6464617473039532e-11
UGC08286,5.67,2.492377355189519e-11
UGC08286,6.15,2.306419353079683e-11
UGC08286,6.62,2.1957520624265677e-11
UGC08286,7.1,2.212679169093722e-11
UGC08286,7.57,2.1013981139310283e-11
UGC08286,8.04,2.0382602129321105e-11
UGC08490,0.34,5.130602922312846e-11
UGC08490,0.68,5.213305397244502e-11
UGC08490,1.02,4.976435280017564e-11
UGC08490,1.36,4.6619579591923815e-11
UGC08490,1.69,4.340835643156389e-11
UGC08490,2.03,4.0361759519380727e-11
UGC08490,2.37,3.7914977740838685e-11
UGC08490,2.7,3.581577719664616e-11
UGC08490,3.05,3.35711819306591e-11
UGC08490,3.38,3.185808579239837e-11
UGC08490,3.72,3.0714760220485346e-11
UGC08490,4.06,2.960883403740061e-11
UGC08490,4.39,2.7956787476534492e-11
UGC08490,4.74,2.6382924692469214e-11
UGC08490,5.08,2.4757129788676548e-11
UGC08490,5.41,2.30280959341844e-11
UGC08490,5.75,2.215147823817145e-11
UGC08490,6.09,2.1499442193564058e-11
UGC08490,6.42,2.0639494325102413e-11
UGC08490,6.77,1.9897873001313738e-11
UGC08490,7.11,1.916690446911149e-11
UGC08490,7.44,1.9010631891986672e-11
UGC08490,7.78,1.8535451398622398e-11
UGC08490,8.12,1.7557869687022467e-11
UGC08490,8.46,1.716920405934928e-11
UGC08490,8.8,1.684195283995069e-11
UGC08490,9.13,1.6219357015894825e-11
UGC08490,9.47,1.5613164040360836e-11
UGC08490,9.77,1.5297362719214686e-11
UGC08490,10.15,1.5032118453655468e-11
UGC08837,0.52,1.7303370958557772e-11
UGC08837,1.05,1.7438990011426613e-11
UGC08837,1.57,1.643695472236358e-11
UGC08837,2.09,2.1081592517961243e-11
UGC08837,2.63,2.236047741401888e-11
UGC08837,3.15,2.152291464692208e-11
UGC08837,3.68,2.1502462286886567e-11
UGC08837,4.2,2.163019064971537e-11
UGC09037,2.43,5.277743337725853e-11
UGC09037,3.65,4.886083902221086e-11
UGC09037,4.86,4.494931823173323e-11
UGC09037,6.08,4.25834463457104e-11
UGC09037,7.29,4.192130954915168e-11
UGC09037,8.51,4.004790429809961e-11
UGC09037,9.73,3.8076935879702705e-11
UGC09037,10.96,3.612351820916307e-11
UGC09037,12.19,3.5612893405116794e-11
UGC09037,13.41,3.50139738568491e-11
UGC09037,14.55,3.4012914153460566e-11
UGC09037,15.78,3.335690756379489e-11
UGC09037,17.0,3.2146775750302646e-11
UGC09037,18.23,3.0551435435622406e-11
UGC09037,19.46,2.9141189015991e-11
UGC09037,20.69,2.8876491675675402e-11
UGC09037,21.92,2.7736642883775738e-11
UGC09037,23.14,2.6445996875652174e-11
UGC09037,24.28,2.5883386029945388e-11
UGC09037,25.51,2.4630845676958273e-11
UGC09037,26.73,2.4838425830622537e-11
UGC09037,27.96,2.4615249669131e-11
UGC09133,0.32,9.79001273100855e-11
UGC09133,0.63,9.851245252131764e-11
UGC09133,0.95,9.786122557778063e-11
UGC09133,1.26,9.702077768707458e-11
UGC09133,1.58,9.61093494805936e-11
UGC09133,1.89,9.515998060780815e-11
UGC09133,2.21,9.417552689899439e-11
UGC09133,2.52,9.321590514688967e-11
UGC09133,2.84,9.223600905092474e-11
UGC09133,3.15,9.137118812808163e-11
UGC09133,3.47,9.062818530710827e-11
UGC09133,3.79,8.992917355348291e-11
UGC09133,4.1,8.923800300876192e-11
UGC09133,4.42,8.84862208245697e-11
UGC09133,4.73,8.77020655800203e-11
UGC09133,5.05,8.68369686060539e-11
UGC09133,5.36,8.597089687746177e-11
UGC09133,5.68,8.508458967908245e-11
UGC09133,5.99,8.42547450400689e-11
UGC09133,6.31,8.344444410738291e-11
UGC09133,6.62,8.273678163401952e-11
UGC09133,6.94,8.206154185069591e-11
UGC09133,7.57,8.076230840292985e-11
UGC09133,7.89,8.003977200798717e-11
UGC09133,8.2,7.928166062595007e-11
UGC09133,8.31,7.901844837018074e-11
UGC09133,8.52,7.853892133319904e-11
UGC09133,8.83,7.787707907496077e-11
UGC09133,9.15,7.719293411462153e-11
UGC09133,9.78,7.57671865991263e-11
UGC09133,10.1,7.499127262719426e-11
UGC09133,11.04,7.270829586164953e-11
UGC09133,11.36,7.195745085282106e-11
UGC09133,11.67,7.125300742157005e-11
UGC09133,13.57,6.737950112416539e-11
UGC09133,13.88,6.675432096261531e-11
UGC09133,14.2,6.615216250781351e-11
UGC09133,16.61,6.182450412913718e-11
UGC09133,19.35,5.7659455808540175e-11
UGC09133,22.19,5.3535375527364756e-11
UGC09133,24.92,5.0339379643442396e-11
UGC09133,27.66,4.748055371376556e-11
UGC09133,30.5,4.472751066498902e-11
UGC09133,33.23,4.2243889491507176e-11
UGC09133,35.96,3.980360323592451e-11
UGC09133,38.8,3.74797647279055e-11
UGC09133,41.54,3.5493136675216735e-11
UGC09133,44.27,3.3769412418549803e-11
UGC09133,47.11,3.223767702544657e-11
UGC09133,49.84,3.0857195280816897e-11
UGC09133,52.58,2.946793300277729e-11
UGC09133,55.42,2.8199755957783715e-11
UGC09133,58.15,2.7195680314091395e-11
UGC09133,60.89,2.6368658872913664e-11
UGC09133,63.62,2.548271235026057e-11
UGC09133,66.46,2.4577477382379604e-11
UGC09133,69.19,2.3750815794287586e-11
UGC09133,71.93,2.300224182333813e-11
UGC09133,74.77,2.2309669884224976e-11
UGC09133,77.5,2.1723122341364607e-11
UGC09133,80.23,2.1167954732067584e-11
UGC09133,83.07,2.060507816736991e-11
UGC09133,85.81,2.0068093237681592e-11
UGC09133,88.54,1.9531186306396057e-11
UGC09133,91.38,1.899570859738022e-11
UGC09133,94.12,1.8511534597315498e-11
UGC09133,99.69,1.7651883764538884e-11
UGC09133,108.31,1.6402927021046007e-11
UGC11455,0.62,6.537155735728729e-11
UGC11455,1.23,6.931222974240546e-11
UGC11455,1.83,6.987514879393527e-11
UGC11455,2.47,6.92128942749708e-11
UGC11455,3.08,6.796551294186589e-11
UGC11455,3.68,6.680333469058027e-11
UGC11455,4.32,6.577804772403511e-11
UGC11455,4.91,6.506367841257674e-11
UGC11455,5.53,6.543896820343047e-11
UGC11455,6.17,6.621547277994668e-11
UGC11455,6.78,6.784224234850934e-11
UGC11455,7.38,6.926641873369668e-11
UGC11455,8.0,6.938983767127253e-11
UGC11455,8.62,6.847416544692745e-11
UGC11455,9.23,6.789658248244576e-11
UGC11455,9.85,6.760885734091868e-11
UGC11455,10.43,6.734670306967772e-11
UGC11455,11.05,6.69113681899674e-11
UGC11455,11.67,6.637676721746796e-11
UGC11455,12.19,6.598188728069529e-11
UGC11455,12.91,6.537178220842643e-11
UGC11455,14.56,6.367332344645565e-11
UGC11455,16.63,6.027431329965286e-11
UGC11455,17.77,5.844456840997632e-11
UGC11455,18.49,5.7462836303762897e-11
UGC11455,20.24,5.5680739156093856e-11
UGC11455,22.62,5.3565846731224755e-11
UGC11455,24.89,5.0950043975612843e-11
UGC11455,27.06,4.799978070231823e-11
UGC11455,29.13,4.5232183717852767e-11
UGC11455,31.3,4.2745052766923976e-11
UGC11455,33.46,4.0760572680342616e-11
UGC11455,35.53,3.857324296864996e-11
UGC11455,37.7,3.640356915722702e-11
UGC11455,39.87,3.488785302782954e-11
UGC11455,41.93,3.3422287905214545e-11
UGC12506,0.82,4.6652974306624925e-11
UGC12506,2.46,5.866434490164678e-11
UGC12506,4.1,6.029598671468358e-11
UGC12506,5.74,5.927079231106791e-11
UGC12506,7.38,5.8018610098581e-11
UGC12506,9.02,5.825616912040337e-11
UGC12506,10.65,5.782401250605549e-11
UGC12506,12.29,5.668495476908001e-11
UGC12506,13.93,5.4942686067671955e-11
UGC12506,15.57,5.36064083643108e-11
UGC12506,17.21,5.230301586231051e-11
UGC12506,18.85,5.063122901410359e-11
UGC12506,20.49,4.87033041073526e-11
UGC12506,22.13,4.6863763010731875e-11
UGC12506,23.77,4.498779759554807e-11
UGC12506,25.41,4.313754978773465e-11
UGC12506,27.05,4.157408419162253e-11
UGC12506,28.68,4.032049789312997e-11
UGC12506,30.32,3.919915185333162e-11
UGC12506,31.96,3.8073591427224675e-11
UGC12506,33.6,3.672193821009741e-11
UGC12506,35.24,3.537740742190406e-11
UGC12506,36.88,3.4301384623644226e-11
UGC12506,38.52,3.353870355476775e-11
UGC12506,40.16,3.2823924148701444e-11
UGC12506,41.8,3.2026169282697127e-11
UGC12506,43.44,3.138719747439978e-11
UGC12506,45.08,3.1077847659429634e-11
UGC12506,46.71,3.0045411948974954e-11
UGC12506,48.35,2.9713105698494285e-11
UGC12506,49.99,2.9546501750538264e-11
UGCA442,0.42,1.56419431903492e-11
UGCA442,1.26,2.212207422818544e-11
UGCA442,2.11,2.4202272384601682e-11
UGCA442,2.96,2.2831736234365643e-11
UGCA442,3.79,2.058493598709621e-11
UGCA442,4.65,1.7826764064032298e-11
UGCA442,5.48,1.4921789485163806e-11
UGCA442,6.33,1.2551814628541092e-11
UGCA444,0.12,8.35446674362319e-12
UGCA444,0.19,6.5457239631675905e-12
UGCA444,0.26,8.917278446820391e-12
UGCA444,0.33,1.0979280962445498e-11
UGCA444,0.4,1.2529593022561742e-11
UGCA444,0.47,1.4056486144530533e-11
UGCA444,0.55,1.588080082411846e-11
UGCA444,0.62,1.7548111784429368e-11
UGCA444,0.69,1.8955300199871224e-11
UGCA444,0.76,1.9992138213320797e-11
UGCA444,0.83,2.114987885008387e-11
UGCA444,0.9,2.163234817866011e-11
UGCA444,0.97,2.1957966531278623e-11
UGCA444,1.04,2.214339727989078e-11
UGCA444,1.11,2.2209947463582578e-11
UGCA444,1.19,2.2083040137048392e-11
UGCA444,1.26,2.179460184471715e-11
UGCA444,1.33,2.1535212844240198e-11
UGCA444,1.4,2.1185655080166286e-11
UGCA444,1.48,2.0808430845111292e-11
UGCA444,1.55,2.0506157747187734e-11
UGCA444,1.62,2.0335714469739296e-11
UGCA444,1.69,1.9963511532541346e-11
UGCA444,1.75,1.9657031153491956e-11
UGCA444,1.83,1.9378441762677776e-11
UGCA444,1.9,1.9060490266448416e-11
UGCA444,1.97,1.8756895403433875e-11
UGCA444,2.04,1.8466398652286265e-11
UGCA444,2.11,1.8290415130641862e-11
UGCA444,2.19,1.7891427148913754e-11
UGCA444,2.26,1.7640329023452176e-11
UGCA444,2.33,1.740309183401523e-11
UGCA444,2.4,1.6798269614676522e-11
UGCA444,2.48,1.608615300862412e-11
UGCA444,2.55,1.54034160470647e-11
UGCA444,2.62,1.479996640332739e-11
